StatementID,mean_Importance,std_Importance,count_Importance,mean_Feasibility,std_Feasibility,count_Feasibility,Gap,Cluster
50,3.6666666666666665,1.1547005383792515,12,4.333333333333333,1.1547005383792517,12,-0.6666666666666665,1
51,3.25,1.0552897060221726,12,4.166666666666667,1.1146408580454255,12,-0.916666666666667,1
52,2.75,1.2880570286640687,12,2.6666666666666665,0.7784989441615229,12,0.08333333333333348,0
53,3.5833333333333335,1.164500152881315,12,3.75,1.3568010505999362,12,-0.16666666666666652,1
54,3.1666666666666665,1.1146408580454255,12,3.0,0.852802865422442,12,0.16666666666666652,0
55,3.1666666666666665,1.5859229221975182,12,2.8333333333333335,1.1934162828797101,12,0.33333333333333304,0
56,3.1666666666666665,1.1146408580454255,12,3.25,0.9653072991634228,12,-0.08333333333333348,0
57,3.4166666666666665,1.1645001528813148,12,4.25,1.2154310870109943,12,-0.8333333333333335,1
58,3.5833333333333335,0.9962049198956219,12,3.5,1.243163121016122,12,0.08333333333333348,1
59,3.9166666666666665,1.0836246694508318,12,3.5833333333333335,1.0836246694508316,12,0.33333333333333304,1
60,3.0833333333333335,1.0836246694508318,12,2.9166666666666665,0.7929614610987591,12,0.16666666666666696,0
61,2.1666666666666665,0.9374368665610922,12,2.5833333333333335,1.164500152881315,12,-0.41666666666666696,0
62,2.9166666666666665,1.0836246694508316,12,3.5833333333333335,1.2401124093721454,12,-0.666666666666667,1
63,3.4166666666666665,0.9962049198956218,12,2.5,0.9045340337332908,12,0.9166666666666665,0
64,3.5833333333333335,1.0836246694508316,12,3.3333333333333335,1.0730867399773196,12,0.25,1
65,2.9166666666666665,1.164500152881315,12,2.9166666666666665,1.3113721705515067,12,0.0,0
66,3.25,1.3568010505999362,12,3.1666666666666665,0.9374368665610922,12,0.08333333333333348,0
67,3.0833333333333335,1.378954368902449,12,2.5,0.9045340337332907,12,0.5833333333333335,0
68,3.1666666666666665,1.1934162828797101,12,4.083333333333333,1.1645001528813148,12,-0.9166666666666665,0
69,3.9166666666666665,1.3113721705515067,12,4.166666666666667,1.1934162828797101,12,-0.25000000000000044,1
70,3.4166666666666665,1.0836246694508316,12,3.6666666666666665,1.1547005383792515,12,-0.25,1
71,2.6666666666666665,1.2309149097933274,12,2.75,1.0552897060221726,12,-0.08333333333333348,0
72,3.5,1.1677484162422844,12,3.8333333333333335,1.1934162828797101,12,-0.3333333333333335,1
73,3.5,1.0871146130092177,12,3.4166666666666665,0.90033663737852,12,0.08333333333333348,0
74,2.8333333333333335,1.1934162828797101,12,3.4166666666666665,0.90033663737852,12,-0.583333333333333,0
75,3.3333333333333335,1.3706888336846839,12,2.8333333333333335,1.0298573010888745,12,0.5,0
76,3.6666666666666665,0.8876253645985945,12,3.6666666666666665,1.0730867399773196,12,0.0,1
77,2.3333333333333335,1.3026778945578592,12,2.5,1.243163121016122,12,-0.16666666666666652,0
78,2.75,1.0552897060221726,12,2.5,1.087114613009218,12,0.25,0
79,3.5833333333333335,1.0836246694508316,12,3.25,1.2154310870109941,12,0.3333333333333335,1
80,3.5,1.0871146130092177,12,3.5833333333333335,1.0836246694508316,12,-0.08333333333333348,1
81,3.0833333333333335,1.3113721705515067,12,2.75,0.621581560508061,12,0.3333333333333335,0
82,3.3333333333333335,1.2309149097933274,12,3.0,1.348399724926484,12,0.3333333333333335,0
83,2.75,1.2154310870109941,12,2.4166666666666665,0.90033663737852,12,0.3333333333333335,0
84,3.727272727272727,1.1037127426019047,11,4.083333333333333,1.378954368902449,12,-0.35606060606060597,1
85,3.5,1.1677484162422844,12,3.1666666666666665,1.1934162828797101,12,0.3333333333333335,0
86,3.1666666666666665,1.1146408580454255,12,3.25,1.2880570286640687,12,-0.08333333333333348,0
87,2.1666666666666665,0.9374368665610922,12,3.0833333333333335,1.2401124093721456,12,-0.916666666666667,0
88,3.4166666666666665,1.164500152881315,12,3.3333333333333335,0.8876253645985945,12,0.08333333333333304,0
89,4.166666666666667,1.2673044646258473,12,4.0,1.2060453783110545,12,0.16666666666666696,1
90,3.0833333333333335,1.164500152881315,12,3.4166666666666665,1.3113721705515067,12,-0.33333333333333304,1
91,2.9166666666666665,1.2401124093721456,12,2.4166666666666665,0.9962049198956218,12,0.5,0
92,3.1666666666666665,1.1146408580454255,12,2.8333333333333335,0.9374368665610922,12,0.33333333333333304,1
93,3.0,1.4142135623730951,12,2.9166666666666665,1.0836246694508318,12,0.08333333333333348,0
94,3.9166666666666665,1.0836246694508318,12,2.9166666666666665,0.996204919895622,12,1.0,0
95,2.8333333333333335,1.1934162828797101,12,2.9166666666666665,1.0836246694508318,12,-0.08333333333333304,0
96,3.0,1.4142135623730951,12,2.8333333333333335,1.1146408580454255,12,0.16666666666666652,0
97,3.0,1.2060453783110545,12,3.3333333333333335,1.2309149097933272,12,-0.3333333333333335,1
98,3.8333333333333335,1.0298573010888745,12,3.5833333333333335,1.0836246694508316,12,0.25,1
99,2.75,1.3568010505999362,12,2.4166666666666665,0.9003366373785199,12,0.3333333333333335,0
100,4.0,1.1281521496355325,12,4.083333333333333,1.2401124093721456,12,-0.08333333333333304,1
